City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,narsaq,60.92,-46.05,33.8,43,100,19.46,GL,1579585175
1,mataura,-46.19,168.86,67.03,71,100,7.78,NZ,1579585160
2,punta arenas,-53.15,-70.92,55.4,66,75,17.22,CL,1579585177
3,bairiki,1.33,172.98,89.6,66,40,4.7,KI,1579585180
4,derzhavinsk,51.1,66.32,15.87,94,100,16.35,KZ,1579585180
5,rikitea,-23.12,-134.97,78.33,78,100,12.3,PF,1579585180
6,saint-philippe,-21.36,55.77,78.8,83,100,5.82,RE,1579585181
7,bethel,41.37,-73.41,23.0,47,1,3.36,US,1579585090
8,jamestown,42.1,-79.24,27.0,85,90,2.82,US,1579585082
9,itoman,26.12,127.67,68.0,56,20,10.29,JP,1579585182
10,anadyr,64.75,177.48,-14.01,83,20,6.71,RU,1579585183
11,otofuke,42.99,143.2,30.2,63,20,13.87,JP,1579585184
12,sitka,57.05,-135.33,37.4,82,90,4.7,US,1579584932
13,hermanus,-34.42,19.23,69.01,74,22,24.63,ZA,1579585149
14,ushuaia,-54.8,-68.3,46.4,93,40,6.93,AR,1579585185
15,bilma,18.69,12.92,54.88,28,0,11.74,NE,1579585185
16,seoul,37.57,126.98,39.2,32,1,0.31,KR,1579584942
17,bluff,-46.6,168.33,60.28,76,100,3.58,NZ,1579585189
18,arraial do cabo,-22.97,-42.03,73.76,84,28,2.13,BR,1579585190
19,barrow,71.29,-156.79,-2.2,77,90,11.41,US,1579585190
20,gambela,8.25,34.58,82.4,32,53,1.68,ET,1579585190
21,chernyanka,50.94,37.81,28.85,92,99,13.91,RU,1579585191
22,ringebu,61.52,10.17,35.01,89,39,7.0,NO,1579585192
23,iqaluit,63.75,-68.51,-25.01,67,5,12.75,CA,1579585192
24,lorengau,-2.02,147.27,83.17,79,75,15.55,PG,1579585096
25,busselton,-33.65,115.33,84.0,21,74,22.59,AU,1579585193
26,constitucion,-35.33,-72.42,59.7,48,0,4.38,CL,1579585079
27,miri,4.41,114.01,87.8,79,75,8.05,MY,1579585194
28,lebu,-37.62,-73.65,52.05,93,0,4.61,CL,1579585153
29,avarua,-21.21,-159.78,80.6,88,99,8.05,CK,1579585196
30,cape town,-33.93,18.42,71.01,82,0,3.36,ZA,1579584964
31,namatanai,-3.67,152.43,84.51,73,4,13.13,PG,1579585077
32,jacmel,18.23,-72.53,77.0,78,80,6.93,HT,1579585198
33,tuktoyaktuk,69.45,-133.04,-23.8,74,5,5.82,CA,1579585199
34,tiksi,71.69,128.87,-25.51,86,28,2.89,RU,1579585105
35,lexington park,38.27,-76.45,30.99,39,1,3.36,US,1579585199
36,sisimiut,66.94,-53.67,5.49,76,100,3.31,GL,1579585199
37,carnarvon,-24.87,113.63,84.2,54,0,25.28,AU,1579585201
38,chokurdakh,70.63,147.92,-16.1,97,100,8.01,RU,1579585078
39,miranda,3.25,-76.23,71.6,83,75,4.7,CO,1579585202
40,belmonte,-15.86,-38.88,77.0,83,40,3.36,BR,1579585202
41,mount gambier,-37.83,140.77,73.4,38,0,13.87,AU,1579585203
42,san andres,12.58,-81.7,80.6,83,40,11.41,CO,1579585203
43,thompson,55.74,-97.86,6.8,77,75,4.7,CA,1579585204
44,mpulungu,-8.76,31.11,67.64,89,100,3.06,ZM,1579585204
45,puerto ayora,-0.74,-90.35,77.0,54,49,3.0,EC,1579585204
46,areosa,41.72,-8.86,46.4,49,3,14.99,PT,1579585204
47,dargaville,-35.93,173.88,67.69,70,3,5.75,NZ,1579585204
48,vaini,-21.2,-175.2,82.4,69,40,11.41,TO,1579585205
49,freeport,40.66,-73.58,24.8,35,1,6.93,US,1579585205
50,hobart,-42.88,147.33,68.0,55,20,20.8,AU,1579585205
51,lima,-12.04,-77.03,71.6,94,90,11.41,PE,1579585203
52,batagay,67.63,134.63,-29.04,98,39,1.97,RU,1579585206
53,turukhansk,65.82,87.98,-36.0,98,99,3.69,RU,1579585206
54,cabo san lucas,22.89,-109.91,66.2,77,5,3.36,MX,1579585207
55,omsukchan,62.53,155.8,-21.15,98,100,4.43,RU,1579585082
56,pangkalanbuun,-2.68,111.62,94.26,48,66,1.25,ID,1579585207
57,road town,18.42,-64.62,78.01,83,40,12.75,VG,1579585207
58,saint anthony,45.02,-93.22,3.2,84,1,4.7,US,1579585208
59,codrington,-38.27,141.97,58.77,68,9,9.28,AU,1579585208
60,komsomolskiy,40.43,71.72,33.8,53,100,4.7,UZ,1579585209
61,yaan,7.38,8.57,71.35,31,91,3.89,NG,1579585209
62,hami,42.8,93.45,15.06,85,100,3.0,CN,1579585210
63,vila velha,-20.33,-40.29,71.6,94,75,5.82,BR,1579585210
64,espanola,35.99,-106.08,37.0,59,40,4.47,US,1579585210
65,bubaque,11.28,-15.83,76.1,55,100,10.0,GW,1579585210
66,albany,42.6,-73.97,16.0,61,1,5.82,US,1579585212
67,hithadhoo,-0.6,73.08,83.52,79,1,14.9,MV,1579585212
68,kapaa,22.08,-159.32,75.2,78,90,13.87,US,1579585146
69,mahebourg,-20.41,57.7,84.2,79,75,1.12,MU,1579585213
70,trumbull,41.32,-80.77,23.0,92,90,3.36,US,1579585213
71,klaksvik,62.23,-6.59,41.0,75,51,27.51,FO,1579585169
72,northam,51.03,-4.22,42.01,100,0,2.24,GB,1579585214
73,butaritari,3.07,172.79,85.41,63,100,3.42,KI,1579585214
74,esperance,-33.87,121.9,75.2,53,99,33.33,AU,1579585183
75,atuona,-9.8,-139.03,80.85,79,70,16.11,PF,1579585215
76,tasiilaq,65.61,-37.64,14.0,47,50,3.36,GL,1579585215
77,laguna,38.42,-121.42,48.99,81,75,3.78,US,1579585215
78,aden,12.78,45.04,74.89,67,56,2.95,YE,1579585111
79,kodiak,57.79,-152.41,17.6,78,75,5.82,US,1579585103
80,port hardy,50.7,-127.42,46.4,87,40,21.92,CA,1579585216
81,lekoni,-1.58,14.26,75.24,81,100,5.5,GA,1579585216
82,murray bridge,-35.12,139.27,81.0,42,0,8.99,AU,1579585217
83,kavieng,-2.57,150.8,83.66,75,2,11.56,PG,1579585081
84,mar del plata,-38.0,-57.56,64.99,93,90,10.29,AR,1579584998
85,ust-nera,64.57,143.2,-43.56,100,59,1.74,RU,1579585218
86,camacha,33.08,-16.33,57.2,62,40,13.87,PT,1579585218
87,geraldton,-28.77,114.6,78.8,54,20,29.97,AU,1579585220
88,puerto baquerizo moreno,-0.9,-89.6,76.17,89,26,8.28,EC,1579585220
89,esmeraldas,-19.76,-44.31,69.8,94,75,6.93,BR,1579585146
90,west lafayette,40.43,-86.91,27.0,92,90,3.36,US,1579585221
91,port augusta,-32.5,137.77,87.8,23,0,6.93,AU,1579585221
92,olavarria,-36.89,-60.32,70.0,83,89,11.92,AR,1579585221
93,libertador general san martin,-23.81,-64.79,69.17,93,88,4.09,AR,1579585222
94,misratah,32.38,15.09,60.6,70,0,23.55,LY,1579585222
95,cherskiy,68.75,161.3,-23.66,98,100,6.51,RU,1579585223
96,san ignacio,17.16,-89.07,71.6,88,90,9.17,BZ,1579585223
97,tenno,39.9,139.97,32.0,65,75,11.41,JP,1579585223
98,ponta do sol,32.67,-17.1,57.2,62,75,9.17,PT,1579585223
99,bredasdorp,-34.53,20.04,66.2,82,95,16.11,ZA,1579585080
100,kargasok,59.06,80.86,-2.99,97,100,7.05,RU,1579585224
101,port blair,11.67,92.75,81.36,80,18,14.76,IN,1579585093
102,dwarka,22.24,68.97,70.68,47,0,11.77,IN,1579585224
103,adrar,20.5,-10.07,56.52,24,0,7.29,MR,1579585100
104,guerrero negro,27.98,-114.06,61.9,65,88,7.96,MX,1579585102
105,fredericton,45.95,-66.67,5.0,77,1,8.05,CA,1579584948
106,pozo colorado,-23.49,-58.8,84.06,59,98,5.88,PY,1579585225
107,qaanaaq,77.48,-69.36,-16.15,59,75,7.85,GL,1579585080
108,atasu,48.68,71.64,7.81,94,100,13.65,KZ,1579585226
109,upernavik,72.79,-56.15,-1.98,56,96,8.95,GL,1579585187
110,trincomalee,8.57,81.23,86.0,56,95,7.96,LK,1579585226
111,mitu,1.2,-70.17,71.92,98,19,1.19,CO,1579584937
112,caceres,39.52,-6.37,37.0,74,57,1.01,ES,1579585227
113,pevek,69.7,170.31,-16.01,97,100,8.97,RU,1579585092
114,dingle,11.0,122.67,79.12,66,25,14.45,PH,1579585095
115,dunedin,-45.87,170.5,59.0,95,100,16.22,NZ,1579585228
116,rypefjord,70.63,23.67,32.0,76,100,14.99,NO,1579585228
117,torbay,47.67,-52.73,21.99,92,90,10.29,CA,1579585229
118,daru,-9.08,143.21,85.77,80,100,2.66,PG,1579585229
119,east london,-33.02,27.91,68.0,77,93,6.93,ZA,1579585229
120,port alfred,-33.59,26.89,64.99,91,100,5.01,ZA,1579585230
121,buala,-8.14,159.59,85.03,69,39,7.43,SB,1579585230
122,sorland,67.67,12.69,37.4,59,40,27.51,NO,1579585186
123,pochutla,15.74,-96.47,80.19,71,0,5.84,MX,1579585231
124,saint-francois,46.42,3.91,28.99,92,3,3.51,FR,1579585231
125,ullapool,57.9,-5.16,50.0,94,96,1.99,GB,1579585232
126,port macquarie,-31.43,152.92,93.0,40,0,13.87,AU,1579584941
127,georgetown,5.41,100.34,89.6,59,20,4.7,MY,1579585232
128,kavaratti,10.57,72.64,84.2,74,20,4.7,IN,1579585232
